county_fips,county_name,state_fips,state_abbr,state_name,cbsa_code,cbsa_name,cbsa_type,estimate_status,estimated_geography_id,estimated_geography_name
01001,Autauga County,01,AL,Alabama,33860,"Montgomery, AL",metropolitan,estimated_msa,33860,"montgomery, al"
01003,Baldwin County,01,AL,Alabama,19300,"Daphne-Fairhope-Foley, AL",metropolitan,estimated_msa,19300,"daphne-fairhope-foley, al"
01005,Barbour County,01,AL,Alabama,21640,"Eufaula, AL-GA",micropolitan,micropolitan_context_only,,
01007,Bibb County,01,AL,Alabama,13820,"Birmingham, AL",metropolitan,estimated_msa,13820,"birmingham-hoover, al"
01009,Blount County,01,AL,Alabama,13820,"Birmingham, AL",metropolitan,estimated_msa,13820,"birmingham-hoover, al"
01011,Bullock County,01,AL,Alabama,,,,outside_cbsa,,
01013,Butler County,01,AL,Alabama,,,,outside_cbsa,,
01015,Calhoun County,01,AL,Alabama,11500,"Anniston-Oxford, AL",metropolitan,estimated_msa,11500,"anniston-oxford-jacksonville, al"
01017,Chambers County,01,AL,Alabama,29300,"LaGrange, GA-AL",micropolitan,micropolitan_context_only,,
01019,Cherokee County,01,AL,Alabama,,,,outside_cbsa,,
01021,Chilton County,01,AL,Alabama,13820,"Birmingham, AL",metropolitan,estimated_msa,13820,"birmingham-hoover, al"
01023,Choctaw County,01,AL,Alabama,,,,outside_cbsa,,
01025,Clarke County,01,AL,Alabama,,,,outside_cbsa,,
01027,Clay County,01,AL,Alabama,,,,outside_cbsa,,
01029,Cleburne County,01,AL,Alabama,,,,outside_cbsa,,
01031,Coffee County,01,AL,Alabama,21460,"Enterprise, AL",micropolitan,micropolitan_context_only,,
01033,Colbert County,01,AL,Alabama,22520,"Florence-Muscle Shoals, AL",metropolitan,metropolitan_context_only,,
01035,Conecuh County,01,AL,Alabama,,,,outside_cbsa,,
01037,Coosa County,01,AL,Alabama,45180,"Talladega-Sylacauga, AL",micropolitan,micropolitan_context_only,,
01039,Covington County,01,AL,Alabama,,,,outside_cbsa,,
01041,Crenshaw County,01,AL,Alabama,,,,outside_cbsa,,
01043,Cullman County,01,AL,Alabama,18980,"Cullman, AL",micropolitan,micropolitan_context_only,,
01045,Dale County,01,AL,Alabama,37120,"Ozark, AL",micropolitan,micropolitan_context_only,,
01047,Dallas County,01,AL,Alabama,42820,"Selma, AL",micropolitan,micropolitan_context_only,,
01049,DeKalb County,01,AL,Alabama,22840,"Fort Payne, AL",micropolitan,micropolitan_context_only,,
01051,Elmore County,01,AL,Alabama,33860,"Montgomery, AL",metropolitan,estimated_msa,33860,"montgomery, al"
01053,Escambia County,01,AL,Alabama,,,,outside_cbsa,,
01055,Etowah County,01,AL,Alabama,23460,"Gadsden, AL",metropolitan,estimated_msa,23460,"gadsden, al"
01057,Fayette County,01,AL,Alabama,,,,outside_cbsa,,
