state_name,year,keyword,regional_interest,national_year_interest
Alabama,2016,bumble,45.0,47.16666666666666
Alaska,2016,bumble,43.0,47.16666666666666
Arizona,2016,bumble,63.0,47.16666666666666
Arkansas,2016,bumble,42.0,47.16666666666666
California,2016,bumble,74.0,47.16666666666666
Colorado,2016,bumble,66.0,47.16666666666666
Connecticut,2016,bumble,74.0,47.16666666666666
Delaware,2016,bumble,60.0,47.16666666666666
District of Columbia,2016,bumble,81.0,47.16666666666666
Florida,2016,bumble,56.0,47.16666666666666
Georgia,2016,bumble,55.0,47.16666666666666
Hawaii,2016,bumble,41.0,47.16666666666666
Idaho,2016,bumble,43.0,47.16666666666666
Illinois,2016,bumble,66.0,47.16666666666666
Indiana,2016,bumble,44.0,47.16666666666666
Iowa,2016,bumble,48.0,47.16666666666666
Kansas,2016,bumble,42.0,47.16666666666666
Kentucky,2016,bumble,48.0,47.16666666666666
Louisiana,2016,bumble,66.0,47.16666666666666
Maine,2016,bumble,61.0,47.16666666666666
Maryland,2016,bumble,74.0,47.16666666666666
Massachusetts,2016,bumble,87.0,47.16666666666666
Michigan,2016,bumble,57.0,47.16666666666666
Minnesota,2016,bumble,61.0,47.16666666666666
Mississippi,2016,bumble,41.0,47.16666666666666
Missouri,2016,bumble,47.0,47.16666666666666
Montana,2016,bumble,52.0,47.16666666666666
Nebraska,2016,bumble,50.0,47.16666666666666
Nevada,2016,bumble,49.0,47.16666666666666
New Hampshire,2016,bumble,75.0,47.16666666666666
New Jersey,2016,bumble,71.0,47.16666666666666
New Mexico,2016,bumble,53.0,47.16666666666666
New York,2016,bumble,100.0,47.16666666666666
North Carolina,2016,bumble,54.0,47.16666666666666
North Dakota,2016,bumble,46.0,47.16666666666666
Ohio,2016,bumble,58.0,47.16666666666666
Oklahoma,2016,bumble,49.0,47.16666666666666
Oregon,2016,bumble,62.0,47.16666666666666
Pennsylvania,2016,bumble,72.0,47.16666666666666
Rhode Island,2016,bumble,71.0,47.16666666666666
South Carolina,2016,bumble,48.0,47.16666666666666
South Dakota,2016,bumble,37.0,47.16666666666666
