geography,model,year,rows,clamped_reference,clamped_scenario,pct_clamped_reference,pct_clamped_scenario
msa,statistical_ridge,2030,1128,100,37,0.08865248226950355,0.03280141843971631
msa,statistical_ridge,2035,1128,952,404,0.8439716312056738,0.35815602836879434
msa,statistical_ridge,2040,1128,1076,446,0.9539007092198581,0.3953900709219858
msa,statistical_ridge,2045,1128,1100,450,0.975177304964539,0.39893617021276595
msa,statistical_ridge,2050,1128,1128,463,1.0,0.4104609929078014
msa,statistical_ridge,2055,1128,1128,464,1.0,0.41134751773049644
msa,statistical_ridge,2060,1128,1128,471,1.0,0.4175531914893617
msa,tree_gradient_boosting,2030,1128,0,0,0.0,0.0
msa,tree_gradient_boosting,2035,1128,0,0,0.0,0.0
msa,tree_gradient_boosting,2040,1128,0,0,0.0,0.0
msa,tree_gradient_boosting,2045,1128,0,0,0.0,0.0
msa,tree_gradient_boosting,2050,1128,0,0,0.0,0.0
msa,tree_gradient_boosting,2055,1128,0,0,0.0,0.0
msa,tree_gradient_boosting,2060,1128,0,0,0.0,0.0
msa,temporal_neural_net,2030,1128,32,13,0.028368794326241134,0.01152482269503546
msa,temporal_neural_net,2035,1128,164,60,0.1453900709219858,0.05319148936170213
msa,temporal_neural_net,2040,1128,984,409,0.8723404255319149,0.3625886524822695
msa,temporal_neural_net,2045,1128,1080,444,0.9574468085106383,0.39361702127659576
msa,temporal_neural_net,2050,1128,1112,459,0.9858156028368794,0.40691489361702127
msa,temporal_neural_net,2055,1128,1128,464,1.0,0.41134751773049644
msa,temporal_neural_net,2060,1128,1128,471,1.0,0.4175531914893617
