geography,model,scenario,year,n_msa,nonmissing,nonzero_1e12,nonzero_1e8,nonzero_1e6,visible_nonzero_3dp,min,mean,max,positive,negative,zero,near_zero
msa,statistical_ridge,remote_work_saves_time,2030,282,282,282,282,282,282,0.00698053697421841,0.01866251056712317,0.03611615228560083,282,0,0,0
msa,statistical_ridge,remote_work_saves_time,2035,282,282,282,282,282,282,0.0032605959757754377,0.025813213369385357,0.06787434220666455,282,0,0,0
msa,statistical_ridge,remote_work_saves_time,2040,282,282,282,282,282,280,0.00019567169160161768,0.028318176800487413,0.10295710622758403,282,0,0,0
msa,statistical_ridge,remote_work_saves_time,2045,282,282,280,280,280,275,0.0,0.02840650132934349,0.1528094051236133,280,0,2,2
msa,statistical_ridge,remote_work_saves_time,2050,282,282,274,274,274,273,0.0,0.027378354585929764,0.20727331424313356,274,0,8,8
msa,statistical_ridge,remote_work_saves_time,2055,282,282,272,272,272,271,0.0,0.025836127433207873,0.25708419604715704,272,0,10,10
msa,statistical_ridge,remote_work_saves_time,2060,282,282,271,271,271,267,0.0,0.024096370181353553,0.29026279603359306,271,0,11,11
msa,statistical_ridge,digital_distraction_crowds_out,2030,282,282,184,184,184,184,-0.02007214384590128,-0.009718314168705928,0.0,0,184,98,98
msa,statistical_ridge,digital_distraction_crowds_out,2035,282,282,13,13,13,13,-0.030612772807788957,-0.000924289773470754,0.0,0,13,269,269
msa,statistical_ridge,digital_distraction_crowds_out,2040,282,282,0,0,0,0,0.0,0.0,0.0,0,0,282,282
msa,statistical_ridge,digital_distraction_crowds_out,2045,282,282,0,0,0,0,0.0,0.0,0.0,0,0,282,282
msa,statistical_ridge,digital_distraction_crowds_out,2050,282,282,0,0,0,0,0.0,0.0,0.0,0,0,282,282
msa,statistical_ridge,digital_distraction_crowds_out,2055,282,282,0,0,0,0,0.0,0.0,0.0,0,0,282,282
msa,statistical_ridge,digital_distraction_crowds_out,2060,282,282,0,0,0,0,0.0,0.0,0.0,0,0,282,282
msa,statistical_ridge,online_life_helps_matching,2030,282,282,282,282,282,282,0.03943832678682213,0.039438326786822145,0.03943832678682302,282,0,0,0
msa,statistical_ridge,online_life_helps_matching,2035,282,282,282,282,282,282,0.060148858393667126,0.06014885839366887,0.06014885839367423,282,0,0,0
msa,statistical_ridge,online_life_helps_matching,2040,282,282,282,282,282,282,0.07379878711138943,0.07379878711139119,0.07379878711139298,282,0,0,0
msa,statistical_ridge,online_life_helps_matching,2045,282,282,282,282,282,282,0.08279520292223808,0.0827952029222389,0.08279520292223985,282,0,0,0
msa,statistical_ridge,online_life_helps_matching,2050,282,282,282,282,282,282,0.08872457435819214,0.08872457435819263,0.08872457435819392,282,0,0,0
msa,statistical_ridge,online_life_helps_matching,2055,282,282,282,282,282,282,0.09263251351581836,0.09263251351582007,0.09263251351582102,282,0,0,0
msa,statistical_ridge,online_life_helps_matching,2060,282,282,282,282,282,282,0.09520816400840015,0.09520816400840187,0.0952081640084037,282,0,0,0
msa,statistical_ridge,home_centered_digital_life_increases_care_work,2030,282,282,270,270,270,269,-0.007930385005398222,-0.0024187032227779696,0.004247753380312247,98,172,12,12
msa,statistical_ridge,home_centered_digital_life_increases_care_work,2035,282,282,116,116,116,116,-0.011287622727175872,0.0008812715582943629,0.00814295923097319,104,12,166,166
msa,statistical_ridge,home_centered_digital_life_increases_care_work,2040,282,282,105,105,105,104,0.0,0.0013827209903833147,0.009350783154557618,105,0,177,177
msa,statistical_ridge,home_centered_digital_life_increases_care_work,2045,282,282,109,109,109,105,0.0,0.001446023476492128,0.013240843340692976,109,0,173,173
msa,statistical_ridge,home_centered_digital_life_increases_care_work,2050,282,282,109,109,109,98,0.0,0.001470917125314736,0.017268186357133786,109,0,173,173
msa,statistical_ridge,home_centered_digital_life_increases_care_work,2055,282,282,110,110,110,95,0.0,0.001457560844711529,0.020727491215032146,110,0,172,172
msa,statistical_ridge,home_centered_digital_life_increases_care_work,2060,282,282,104,104,104,88,0.0,0.0014185828928398297,0.022749494351035793,104,0,178,178
msa,tree_gradient_boosting,remote_work_saves_time,2030,282,282,282,282,282,282,0.00698053697421841,0.018662510567123067,0.03611615228560083,282,0,0,0
msa,tree_gradient_boosting,remote_work_saves_time,2035,282,282,282,282,282,282,0.0032605959757745495,0.025813213369385416,0.06787434220666455,282,0,0,0
msa,tree_gradient_boosting,remote_work_saves_time,2040,282,282,282,282,282,280,0.00019567169159984132,0.028318176800487347,0.10295710622757781,282,0,0,0
msa,tree_gradient_boosting,remote_work_saves_time,2045,282,282,280,280,280,275,0.0,0.028406501329343324,0.1528094051236195,280,0,2,2
msa,tree_gradient_boosting,remote_work_saves_time,2050,282,282,274,274,274,273,0.0,0.02737835458593013,0.20727331424313888,274,0,8,8
msa,tree_gradient_boosting,remote_work_saves_time,2055,282,282,272,272,272,271,0.0,0.025836127433207685,0.2570841960471597,272,0,10,10
msa,tree_gradient_boosting,remote_work_saves_time,2060,282,282,271,271,271,267,0.0,0.024096370181353653,0.29026279603358773,271,0,11,11
msa,tree_gradient_boosting,digital_distraction_crowds_out,2030,282,282,201,201,201,201,-0.02007214384590128,-0.01066268970866228,0.0,0,201,81,81
msa,tree_gradient_boosting,digital_distraction_crowds_out,2035,282,282,199,199,199,199,-0.03061277280779251,-0.01514772209807123,0.0,0,199,83,83
msa,tree_gradient_boosting,digital_distraction_crowds_out,2040,282,282,198,198,198,198,-0.037559906599483384,-0.017781863079455507,0.0,0,198,84,84
msa,tree_gradient_boosting,digital_distraction_crowds_out,2045,282,282,197,197,197,196,-0.042138634120782115,-0.01960301063050982,0.0,0,197,85,85
msa,tree_gradient_boosting,digital_distraction_crowds_out,2050,282,282,194,194,194,194,-0.04515638882983808,-0.020531491211832415,0.0,0,194,88,88
msa,tree_gradient_boosting,digital_distraction_crowds_out,2055,282,282,194,194,194,194,-0.04714533520012765,-0.021027134037103122,0.0,0,194,88,88
msa,tree_gradient_boosting,digital_distraction_crowds_out,2060,282,282,193,193,193,193,-0.04845621300341918,-0.021043408178879917,0.0,0,193,89,89
msa,tree_gradient_boosting,online_life_helps_matching,2030,282,282,282,282,282,282,0.03943832678682213,0.03943832678682213,0.03943832678682213,282,0,0,0
msa,tree_gradient_boosting,online_life_helps_matching,2035,282,282,282,282,282,282,0.060148858393667126,0.06014885839366861,0.06014885839367423,282,0,0,0
msa,tree_gradient_boosting,online_life_helps_matching,2040,282,282,282,282,282,282,0.07379878711138588,0.07379878711139129,0.07379878711139298,282,0,0,0
msa,tree_gradient_boosting,online_life_helps_matching,2045,282,282,282,282,282,282,0.08279520292223808,0.08279520292224139,0.08279520292224163,282,0,0,0
msa,tree_gradient_boosting,online_life_helps_matching,2050,282,282,282,282,282,282,0.08872457435818859,0.08872457435819532,0.0887245743581957,282,0,0,0
msa,tree_gradient_boosting,online_life_helps_matching,2055,282,282,282,282,282,282,0.09263251351581658,0.09263251351581989,0.09263251351582369,282,0,0,0
msa,tree_gradient_boosting,online_life_helps_matching,2060,282,282,282,282,282,282,0.09520816400839749,0.09520816400840235,0.0952081640084046,282,0,0,0
msa,tree_gradient_boosting,home_centered_digital_life_increases_care_work,2030,282,282,282,282,282,281,-0.007930385005394669,-0.0026411946145200853,0.004247753380312247,98,184,0,0
msa,tree_gradient_boosting,home_centered_digital_life_increases_care_work,2035,282,282,282,282,282,282,-0.013172043632877717,-0.003798663588076905,0.008142959230966085,104,178,0,0
msa,tree_gradient_boosting,home_centered_digital_life_increases_care_work,2040,282,282,282,282,282,281,-0.016923049921437894,-0.0047845320461513945,0.009350783154559394,105,177,0,0
msa,tree_gradient_boosting,home_centered_digital_life_increases_care_work,2045,282,282,282,282,282,278,-0.019206378602135032,-0.005424022340395121,0.013240843340696529,109,173,0,0
msa,tree_gradient_boosting,home_centered_digital_life_increases_care_work,2050,282,282,280,280,280,267,-0.020589156385611318,-0.005813450449955271,0.017268186357128457,109,171,2,2
msa,tree_gradient_boosting,home_centered_digital_life_increases_care_work,2055,282,282,278,278,278,262,-0.02149602092730163,-0.00605321639094723,0.020727491215026816,110,168,4,4
msa,tree_gradient_boosting,home_centered_digital_life_increases_care_work,2060,282,282,277,277,277,254,-0.02185798579462528,-0.0063019901278750035,0.02274949435103224,104,173,5,5
msa,temporal_neural_net,remote_work_saves_time,2030,282,282,282,282,282,282,0.00698053697421841,0.018662510567123043,0.03611615228560083,282,0,0,0
msa,temporal_neural_net,remote_work_saves_time,2035,282,282,282,282,282,282,0.0032605959757754377,0.02581321336938533,0.06787434220666455,282,0,0,0
msa,temporal_neural_net,remote_work_saves_time,2040,282,282,282,282,282,280,0.00019567169160161768,0.02831817680048745,0.10295710622758492,282,0,0,0
msa,temporal_neural_net,remote_work_saves_time,2045,282,282,280,280,280,275,0.0,0.02840650132934349,0.1528094051236133,280,0,2,2
msa,temporal_neural_net,remote_work_saves_time,2050,282,282,274,274,274,273,0.0,0.02737835458592976,0.20727331424313356,274,0,8,8
msa,temporal_neural_net,remote_work_saves_time,2055,282,282,272,272,272,271,0.0,0.025836127433207873,0.25708419604715704,272,0,10,10
msa,temporal_neural_net,remote_work_saves_time,2060,282,282,271,271,271,267,0.0,0.024096370181353553,0.29026279603359306,271,0,11,11
msa,temporal_neural_net,digital_distraction_crowds_out,2030,282,282,196,196,196,196,-0.02007214384590128,-0.010419629643044544,0.0,0,196,86,86
