state_name,state_fips,year,model,scenario,reference_path,scenario_path,scenario_difference,scenario_shift_component,legacy_model_scenario_difference,remote_work_share,remote_work_time_saved,digital_media_minutes_narrow,screen_leisure_minutes_broad,in_person_social_minutes,care_burden_minutes,contribution_remote_work_time_saved,contribution_remote_work_share,contribution_digital_media_minutes_narrow,contribution_screen_leisure_minutes_broad,contribution_in_person_social_minutes,contribution_care_burden_minutes,scenario_adjustment_pre_lag,scenario_adjustment_post_lag,recursive_lag_multiplier,clamping_flag,main_driver,geography_type,state_abbr,model_label,scenario_label,manual_adjustment_component,legacy_model_scenario_path,mechanism_remote_work_flexibility,mechanism_digital_distraction,mechanism_online_matching,mechanism_in_person_social,mechanism_care_burden,sample_size,respondent_count_unweighted,commute_minutes_quality_state_year,commute_minutes_source_state_year,mean_commute_minutes_state_year,reference_care_burden_minutes_state_year,reference_commute_minutes_quality_state_year,reference_commute_minutes_source_state_year,reference_digital_media_minutes_narrow_state_year,reference_household_work_minutes_state_year,reference_in_person_social_minutes_state_year,reference_mean_commute_minutes_state_year,reference_remote_work_share_state_year,reference_remote_work_time_saved_roundtrip_minutes_state_year,reference_sample_size,reference_scenario_name,reference_screen_leisure_minutes_broad_state_year,reference_search_interest_online_dating_state_year,reference_unpaid_care_minutes_state_year,delta_remote_work_time_saved,delta_remote_work_share,reference_remote_work_share,reference_remote_work_time_saved,remote_work_scenario_adjustment_formula,remote_work_scenario_calibration_level,remote_work_scenario_beta_remote,remote_work_time_saved_unit,delta_screen_leisure_minutes_broad,reference_screen_leisure_minutes_broad,delta_digital_media_minutes_narrow,reference_digital_media_minutes_narrow,delta_in_person_social_minutes,reference_in_person_social_minutes,contribution_dating_search_interest,delta_dating_search_interest,dating_search_interest,reference_dating_search_interest,delta_care_burden_minutes,reference_care_burden_minutes
Utah,49,2035,statistical_ridge,digital_distraction_crowds_out,63.4304354619,63.2989839864,-0.1314514755,-0.1314514755,-0.0664679551,,,26.5023410853,205.2567275507,14.3165135956,,,,-0.0482792952,-0.0521535079,-0.0310186725,,-0.1314514755,-0.1314514755,1.0,False,screen leisure,state,UT,Statistical baseline,Screen leisure crowds out in-person life,0.0,63.3639675068,0.0,-0.100432803,0.0,-0.0310186725,0.0,36778,36778,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",20.3901992706,153.6804701987,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",16.8457731744,102.1647787578,27.7116631584,20.3901992706,0.0920021377,3.7518838432,36778,baseline_continuation,182.0809645646,87.0508055555,51.515691441,,,,,,,,,23.175762986,182.0809645646,9.6565679108,16.8457731744,-13.3951495628,27.7116631584,,,,,,
Idaho,16,2035,statistical_ridge,digital_distraction_crowds_out,59.6734107726,59.5421657884,-0.1312449842,-0.1312449842,-0.0578595991,,,9.1630354037,176.357884748,43.6665369131,,,,-0.0482792952,-0.0521535079,-0.0308121812,,-0.1312449842,-0.1312449842,1.0,False,screen leisure,state,ID,Statistical baseline,Screen leisure crowds out in-person life,0.0,59.6155511735,0.0,-0.100432803,0.0,-0.0308121812,0.0,20869,20869,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",20.3901992706,147.1861912431,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",-0.4935325072,99.0252912202,56.9725149688,20.3901992706,0.1011907414,4.1265987619,20869,baseline_continuation,153.182121762,50.1606944444,48.1609000229,,,,,,,,,23.175762986,153.182121762,9.6565679108,-0.4935325072,-13.3059780557,56.9725149688,,,,,,
Texas,48,2035,statistical_ridge,digital_distraction_crowds_out,58.6732551777,58.5431264732,-0.1301287045,-0.1301287045,-0.0582880828,,,16.1870177523,184.0088795055,36.0302897673,,,,-0.0482792952,-0.0521535079,-0.0296959015,,-0.1301287045,-0.1301287045,1.0,False,screen leisure,state,TX,Statistical baseline,Screen leisure crowds out in-person life,0.0,58.6149670949,0.0,-0.100432803,0.0,-0.0296959015,0.0,292272,292272,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,147.1357125105,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",6.5304498415,127.1491075708,48.8542119529,23.1890035501,0.0759543412,3.5226109745,292272,baseline_continuation,160.8331165194,54.2386111111,19.9866049397,,,,,,,,,23.175762986,160.8331165194,9.6565679108,6.5304498415,-12.8239221856,48.8542119529,,,,,,
Colorado,08,2035,statistical_ridge,digital_distraction_crowds_out,50.7141825821,50.5841765456,-0.1300060364,-0.1300060364,-0.0692222604,,,39.8930643334,269.1328819406,11.1367231175,,,,-0.0482792952,-0.0521535079,-0.0295732334,,-0.1300060364,-0.1300060364,1.0,False,screen leisure,state,CO,Statistical baseline,Screen leisure crowds out in-person life,0.0,50.6449603217,0.0,-0.100432803,0.0,-0.0295732334,0.0,62827,62827,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",20.3901992706,234.627818126,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",30.2364964225,145.901514214,23.9076721306,20.3901992706,0.1409260285,5.7470196055,62827,baseline_continuation,245.9571189545,67.9821666667,88.7263039119,,,,,,,,,23.175762986,245.9571189545,9.6565679108,30.2364964225,-12.7709490131,23.9076721306,,,,,,
South Dakota,46,2035,statistical_ridge,digital_distraction_crowds_out,68.4074328033,68.2777457039,-0.1296870994,-0.1296870994,-0.0454448301,,,16.5632418307,128.3119772403,34.1119792818,,,,-0.0482792952,-0.0521535079,-0.0292542963,,-0.1296870994,-0.1296870994,1.0,False,screen leisure,state,SD,Statistical baseline,Screen leisure crowds out in-person life,0.0,68.3619879732,0.0,-0.100432803,0.0,-0.0292542963,0.0,9617,9617,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",27.1873166434,140.2476924501,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",6.9066739198,113.750342632,46.7451980463,27.1873166434,0.037279239,2.0270449472,9617,baseline_continuation,105.1362142543,61.3743611111,26.4973498181,,,,,,,,,23.175762986,105.1362142543,9.6565679108,6.9066739198,-12.6332187645,46.7451980463,,,,,,
Tennessee,47,2035,statistical_ridge,digital_distraction_crowds_out,55.2673667661,55.1379699812,-0.1293967849,-0.1293967849,-0.057897654,,,10.4495025955,105.9575294655,63.7191061868,,,,-0.0482792952,-0.0521535079,-0.0289639818,,-0.1293967849,-0.1293967849,1.0,False,screen leisure,state,TN,Statistical baseline,Screen leisure crowds out in-person life,0.0,55.2094691121,0.0,-0.100432803,0.0,-0.0289639818,0.0,74913,74913,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,164.0275375361,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",0.7929346847,127.0003207308,76.2269551095,23.1890035501,0.1161202559,5.3854260541,74913,baseline_continuation,82.7817664795,61.4042222222,37.0272168053,,,,,,,,,23.175762986,82.7817664795,9.6565679108,0.7929346847,-12.5078489228,76.2269551095,,,,,,
Nebraska,31,2035,statistical_ridge,digital_distraction_crowds_out,61.9279769546,61.7987089712,-0.1292679834,-0.1292679834,-0.0504378876,,,10.9045203318,118.8807747422,48.038724194,,,,-0.0482792952,-0.0521535079,-0.0288351803,,-0.1292679834,-0.1292679834,1.0,False,screen leisure,state,NE,Statistical baseline,Screen leisure crowds out in-person life,0.0,61.877539067,0.0,-0.100432803,0.0,-0.0288351803,0.0,20537,20537,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",27.1873166434,142.0860576076,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",1.247952421,114.7285197192,60.4909512856,27.1873166434,0.0492603296,2.6785123601,20537,baseline_continuation,95.7050117562,45.0156111111,27.3575378884,,,,,,,,,23.175762986,95.7050117562,9.6565679108,1.247952421,-12.4522270916,60.4909512856,,,,,,
South Carolina,45,2035,statistical_ridge,digital_distraction_crowds_out,52.5001038292,52.3709994033,-0.1291044259,-0.1291044259,-0.0574131437,,,18.2134345845,120.3379969395,61.6696858183,,,,-0.0482792952,-0.0521535079,-0.0286716229,,-0.1291044259,-0.1291044259,1.0,False,screen leisure,state,SC,Statistical baseline,Screen leisure crowds out in-person life,0.0,52.4426906855,0.0,-0.100432803,0.0,-0.0286716229,0.0,57079,57079,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,154.5196080738,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",8.5568666737,153.6234470884,74.0512820132,23.1890035501,0.189517604,8.7894487817,57079,baseline_continuation,97.1622339535,65.5513611111,0.8961609854,,,,,,,,,23.175762986,97.1622339535,9.6565679108,8.5568666737,-12.3815961949,74.0512820132,,,,,,
Washington,53,2035,statistical_ridge,digital_distraction_crowds_out,52.1911058933,52.0621302689,-0.1289756244,-0.1289756244,-0.0685394674,,,23.6651312759,124.2692245594,-8.7894582384,,,,-0.0482792952,-0.0521535079,-0.0285428214,,-0.1289756244,-0.1289756244,1.0,False,screen leisure,state,WA,Statistical baseline,Screen leisure crowds out in-person life,0.0,52.1225664259,0.0,-0.100432803,0.0,-0.0285428214,0.0,82905,82905,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",20.3901992706,174.8228397729,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",14.008563365,113.0325462321,3.5365161254,20.3901992706,0.0646578708,2.6367737411,82905,baseline_continuation,101.0934615733,66.4407222222,61.7902935409,,,,,,,,,23.175762986,101.0934615733,9.6565679108,14.008563365,-12.3259743637,3.5365161254,,,,,,
North Carolina,37,2035,statistical_ridge,digital_distraction_crowds_out,52.9757200148,52.8469243036,-0.1287957112,-0.1287957112,-0.065392339,,,10.3548501369,136.3270050202,11.822085056,,,,-0.0482792952,-0.0521535079,-0.0283629082,,-0.1287957112,-0.1287957112,1.0,False,screen leisure,state,NC,Statistical baseline,Screen leisure crowds out in-person life,0.0,52.9103276758,0.0,-0.100432803,0.0,-0.0283629082,0.0,114270,114270,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,160.68239651,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",0.6982822261,127.9219944897,24.0703654334,23.1890035501,0.1242638491,5.763109678,114270,baseline_continuation,113.1512420342,71.644,32.7604020203,,,,,,,,,23.175762986,113.1512420342,9.6565679108,0.6982822261,-12.2482803773,24.0703654334,,,,,,
