state_name,state_fips,year,model,scenario,reference_path,scenario_path,scenario_difference,scenario_shift_component,legacy_model_scenario_difference,remote_work_share,remote_work_time_saved,digital_media_minutes_narrow,screen_leisure_minutes_broad,in_person_social_minutes,care_burden_minutes,contribution_remote_work_time_saved,contribution_remote_work_share,contribution_digital_media_minutes_narrow,contribution_screen_leisure_minutes_broad,contribution_in_person_social_minutes,contribution_care_burden_minutes,scenario_adjustment_pre_lag,scenario_adjustment_post_lag,recursive_lag_multiplier,clamping_flag,main_driver,geography_type,state_abbr,model_label,scenario_label,manual_adjustment_component,legacy_model_scenario_path,mechanism_remote_work_flexibility,mechanism_digital_distraction,mechanism_online_matching,mechanism_in_person_social,mechanism_care_burden,sample_size,respondent_count_unweighted,commute_minutes_quality_state_year,commute_minutes_source_state_year,mean_commute_minutes_state_year,reference_care_burden_minutes_state_year,reference_commute_minutes_quality_state_year,reference_commute_minutes_source_state_year,reference_digital_media_minutes_narrow_state_year,reference_household_work_minutes_state_year,reference_in_person_social_minutes_state_year,reference_mean_commute_minutes_state_year,reference_remote_work_share_state_year,reference_remote_work_time_saved_roundtrip_minutes_state_year,reference_sample_size,reference_scenario_name,reference_screen_leisure_minutes_broad_state_year,reference_search_interest_online_dating_state_year,reference_unpaid_care_minutes_state_year,delta_remote_work_time_saved,delta_remote_work_share,reference_remote_work_share,reference_remote_work_time_saved,remote_work_scenario_adjustment_formula,remote_work_scenario_calibration_level,remote_work_scenario_beta_remote,remote_work_time_saved_unit,delta_screen_leisure_minutes_broad,reference_screen_leisure_minutes_broad,delta_digital_media_minutes_narrow,reference_digital_media_minutes_narrow,delta_in_person_social_minutes,reference_in_person_social_minutes,contribution_dating_search_interest,delta_dating_search_interest,dating_search_interest,reference_dating_search_interest,delta_care_burden_minutes,reference_care_burden_minutes
District of Columbia,11,2035,statistical_ridge,home_centered_digital_life_increases_care_work,47.6031133833,47.5111285817,-0.0919848017,-0.0919848017,-0.2058644822,0.0428581937,,,154.3384178704,,165.152976468,,0.0085186947,,-0.0018108857,,-0.0986926107,-0.0919848017,-0.0919848017,1.0,False,care burden,state,DC,Statistical baseline,More time at home increases care work,0.0,47.3972489011,0.0085186947,0.0,0.0,0.0,-0.1005034964,6547,6547,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,138.0042255415,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",32.1676059899,110.47377729,-15.309941466,23.1890035501,0.0323724446,1.5013694653,6547,baseline_continuation,150.4757907061,76.2176388889,27.5304482515,,0.0104857491,0.0323724446,,,,,,3.8626271643,150.4757907061,,,,,,,,,27.1487509265,138.0042255415
Minnesota,27,2035,statistical_ridge,home_centered_digital_life_increases_care_work,55.0261678702,54.9364361667,-0.0897317035,-0.0897317035,-0.1300128879,0.0714016058,,,226.0183993719,,125.0466374069,,0.011413696,,-0.0018108857,,-0.0993345138,-0.0897317035,-0.0897317035,1.0,False,care burden,state,MN,Statistical baseline,More time at home increases care work,0.0,54.8961549824,0.011413696,0.0,0.0,0.0,-0.1011453995,59905,59905,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",27.1873166434,97.7213092386,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",33.3086243817,63.3672743155,16.0545113106,27.1873166434,0.0573523698,3.1185140754,59905,baseline_continuation,222.1557722076,68.8613611111,34.3540349231,,0.014049236,0.0573523698,,,,,,3.8626271643,222.1557722076,,,,,,,,,27.3253281683,97.7213092386
New Hampshire,33,2035,statistical_ridge,home_centered_digital_life_increases_care_work,47.0503056401,46.9628790313,-0.0874266088,-0.0874266088,-0.1603316236,0.1357326194,,,149.7407216508,,175.9591923772,,0.0162864033,,-0.0018108857,,-0.1019021265,-0.0874266088,-0.0874266088,1.0,False,care burden,state,NH,Statistical baseline,More time at home increases care work,0.0,46.8899740165,0.0162864033,0.0,0.0,0.0,-0.1037130122,14374,14374,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",32.0788129322,147.9275552418,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",-2.1111688111,112.5667377482,47.2434196431,32.0788129322,0.1156855177,7.42210816,14374,baseline_continuation,145.8780944865,47.7870833333,35.3608174936,,0.0200471017,0.1156855177,,,,,,3.8626271643,145.8780944865,,,,,,,,,28.0316371355,147.9275552418
Colorado,08,2035,statistical_ridge,home_centered_digital_life_increases_care_work,50.7141825821,50.6276392292,-0.0865433529,-0.0865433529,-0.1921149677,0.162060339,,,249.8197461189,,262.6594552614,,0.0171696593,,-0.0018108857,,-0.1019021265,-0.0865433529,-0.0865433529,1.0,False,care burden,state,CO,Statistical baseline,More time at home increases care work,0.0,50.5220676143,0.0171696593,0.0,0.0,0.0,-0.1037130122,62827,62827,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",20.3901992706,234.627818126,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",30.2364964225,145.901514214,23.9076721306,20.3901992706,0.1409260285,5.7470196055,62827,baseline_continuation,245.9571189545,67.9821666667,88.7263039119,,0.0211343106,0.1409260285,,,,,,3.8626271643,245.9571189545,,,,,,,,,28.0316371355,234.627818126
Maryland,24,2035,statistical_ridge,home_centered_digital_life_increases_care_work,52.280607961,52.1942518998,-0.0863560612,-0.0863560612,-0.1719389806,0.0621076952,,,169.0360128477,,194.1841200717,,0.0109379194,,-0.0018108857,,-0.0954830949,-0.0863560612,-0.0863560612,1.0,False,care burden,state,MD,Statistical baseline,More time at home increases care work,0.0,52.1086689804,0.0109379194,0.0,0.0,0.0,-0.0972939806,62777,62777,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,167.9182553542,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",7.2853295996,149.7166621858,15.1722357241,23.1890035501,0.0486440976,2.2560163025,62777,baseline_continuation,165.1733856834,61.9813611111,18.2015931684,,0.0134635977,0.0486440976,,,,,,3.8626271643,165.1733856834,,,,,,,,,26.2658647175,167.9182553542
Vermont,50,2035,statistical_ridge,home_centered_digital_life_increases_care_work,45.8058266214,45.7198657271,-0.0859608943,-0.0859608943,-0.1518211633,0.0886693634,,,153.1342448132,,165.2763640389,,0.0129378441,,-0.0018108857,,-0.0970878528,-0.0859608943,-0.0859608943,1.0,False,care burden,state,VT,Statistical baseline,More time at home increases care work,0.0,45.6540054581,0.0129378441,0.0,0.0,0.0,-0.0988987385,6938,6938,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",32.0788129322,138.5690562169,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",-0.0750549137,108.3400321224,38.3381316898,32.0788129322,0.0727440377,4.6670847519,6938,baseline_continuation,149.2716176489,72.2521944444,30.2290240945,,0.0159253257,0.0727440377,,,,,,3.8626271643,149.2716176489,,,,,,,,,26.707307822,138.5690562169
Washington,53,2035,statistical_ridge,home_centered_digital_life_increases_care_work,52.1911058933,52.1055967878,-0.0855091056,-0.0855091056,-0.1958894135,0.0803491828,,,104.9560887377,,201.3535703531,,0.0127477298,,-0.0018108857,,-0.0964459496,-0.0855091056,-0.0855091056,1.0,False,care burden,state,WA,Statistical baseline,More time at home increases care work,0.0,51.9952164798,0.0127477298,0.0,0.0,0.0,-0.0982568353,82905,82905,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",20.3901992706,174.8228397729,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",14.008563365,113.0325462321,3.5365161254,20.3901992706,0.0646578708,2.6367737411,82905,baseline_continuation,101.0934615733,66.4407222222,61.7902935409,,0.0156913119,0.0646578708,,,,,,3.8626271643,101.0934615733,,,,,,,,,26.5307305802,174.8228397729
Maine,23,2035,statistical_ridge,home_centered_digital_life_increases_care_work,49.1690041009,49.0838119972,-0.0851921036,-0.0851921036,-0.1306322672,0.103681533,,,140.9143051905,,172.9069959006,,0.0137066348,,-0.0018108857,,-0.0970878528,-0.0851921036,-0.0851921036,1.0,False,care burden,state,ME,Statistical baseline,More time at home increases care work,0.0,49.0383718336,0.0137066348,0.0,0.0,0.0,-0.0988987385,14824,14824,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",32.0788129322,146.1996880786,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",-7.4070186873,112.1841948946,60.9211595128,32.0788129322,0.0868098949,5.5695167586,14824,baseline_continuation,137.0516780262,53.9183055556,34.015493184,,0.0168716381,0.0868098949,,,,,,3.8626271643,137.0516780262,,,,,,,,,26.707307822,146.1996880786
Massachusetts,25,2035,statistical_ridge,home_centered_digital_life_increases_care_work,49.0948016667,49.0097918545,-0.0850098122,-0.0850098122,-0.158357146,0.0474492109,,,280.4012981521,,202.6608278059,,0.0093956042,,-0.0018108857,,-0.0925945307,-0.0850098122,-0.0850098122,1.0,False,care burden,state,MA,Statistical baseline,More time at home increases care work,0.0,48.9364445207,0.0093956042,0.0,0.0,0.0,-0.0944054164,74617,74617,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",32.0788129322,177.1895606765,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",25.4157543207,134.4142514082,-80.6791205866,32.0788129322,0.0358840649,2.3022364091,74617,baseline_continuation,276.5386709878,73.7343611111,42.7753092683,,0.0115651461,0.0358840649,,,,,,3.8626271643,276.5386709878,,,,,,,,,25.4712671294,177.1895606765
Oregon,41,2035,statistical_ridge,home_centered_digital_life_increases_care_work,45.8012090301,45.717862276,-0.0833467541,-0.0833467541,-0.1994961795,0.1183572708,,,219.2223148155,,156.2013218602,,0.0155519844,,-0.0018108857,,-0.0970878528,-0.0833467541,-0.0833467541,1.0,False,care burden,state,OR,Statistical baseline,More time at home increases care work,0.0,45.6017128506,0.0155519844,0.0,0.0,0.0,-0.0988987385,44395,44395,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",20.3901992706,129.4940140382,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",30.4512207288,78.3110594686,7.662050108,20.3901992706,0.0992141729,4.0459935115,44395,baseline_continuation,215.3596876511,62.5920277778,51.1829545696,,0.0191430979,0.0992141729,,,,,,3.8626271643,215.3596876511,,,,,,,,,26.707307822,129.4940140382
