state_name,state_fips,year,model,scenario,reference_path,scenario_path,scenario_difference,scenario_shift_component,legacy_model_scenario_difference,remote_work_share,remote_work_time_saved,digital_media_minutes_narrow,screen_leisure_minutes_broad,in_person_social_minutes,care_burden_minutes,contribution_remote_work_time_saved,contribution_remote_work_share,contribution_digital_media_minutes_narrow,contribution_screen_leisure_minutes_broad,contribution_in_person_social_minutes,contribution_care_burden_minutes,scenario_adjustment_pre_lag,scenario_adjustment_post_lag,recursive_lag_multiplier,clamping_flag,main_driver,geography_type,state_abbr,model_label,scenario_label,manual_adjustment_component,legacy_model_scenario_path,mechanism_remote_work_flexibility,mechanism_digital_distraction,mechanism_online_matching,mechanism_in_person_social,mechanism_care_burden,sample_size,respondent_count_unweighted,commute_minutes_quality_state_year,commute_minutes_source_state_year,mean_commute_minutes_state_year,reference_care_burden_minutes_state_year,reference_commute_minutes_quality_state_year,reference_commute_minutes_source_state_year,reference_digital_media_minutes_narrow_state_year,reference_household_work_minutes_state_year,reference_in_person_social_minutes_state_year,reference_mean_commute_minutes_state_year,reference_remote_work_share_state_year,reference_remote_work_time_saved_roundtrip_minutes_state_year,reference_sample_size,reference_scenario_name,reference_screen_leisure_minutes_broad_state_year,reference_search_interest_online_dating_state_year,reference_unpaid_care_minutes_state_year,delta_remote_work_time_saved,delta_remote_work_share,reference_remote_work_share,reference_remote_work_time_saved,remote_work_scenario_adjustment_formula,remote_work_scenario_calibration_level,remote_work_scenario_beta_remote,remote_work_time_saved_unit,delta_screen_leisure_minutes_broad,reference_screen_leisure_minutes_broad,delta_digital_media_minutes_narrow,reference_digital_media_minutes_narrow,delta_in_person_social_minutes,reference_in_person_social_minutes,contribution_dating_search_interest,delta_dating_search_interest,dating_search_interest,reference_dating_search_interest,delta_care_burden_minutes,reference_care_burden_minutes
New Mexico,35,2035,statistical_ridge,online_life_helps_matching,52.7652718074,52.8145263035,0.0492544962,0.0492544962,0.008702131,,,,,,,,,,,,,0.0492544962,0.0492544962,1.0,False,online matching / digital social life,state,NM,Statistical baseline,Online life helps matching,0.0,52.7739739384,0.0,0.0,0.0492544962,0.0,0.0,20731,20731,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",20.3901992706,113.2541197269,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",-0.3612658924,83.3354869015,35.5382246163,20.3901992706,0.0425314822,1.7344507941,20731,baseline_continuation,153.4025661199,44.8348055556,29.9186328255,,,,,,,,,,,,,,,0.0492544962,3.0845836927,47.9193892482,44.8348055556,,
Mississippi,28,2035,statistical_ridge,online_life_helps_matching,54.5298637481,54.5807042567,0.0508405086,0.0508405086,0.0091135043,,,,,,,,,,,,,0.0508405086,0.0508405086,1.0,False,online matching / digital social life,state,MS,Statistical baseline,Online life helps matching,0.0,54.5389772524,0.0,0.0,0.0508405086,0.0,0.0,29938,29938,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,130.357422798,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",8.8976919999,108.9035849117,46.1151737046,23.1890035501,0.1189889704,5.5184713131,29938,baseline_continuation,111.6926007228,60.6266666667,21.4538378863,,,,,,,,,,,,,,,0.0508405086,3.1839083912,63.8105750578,60.6266666667,,
Louisiana,22,2035,statistical_ridge,online_life_helps_matching,57.0991086294,57.1531211628,0.0540125334,0.0540125334,0.0096603419,,,,,,,,,,,,,0.0540125334,0.0540125334,1.0,False,online matching / digital social life,state,LA,Statistical baseline,Online life helps matching,0.0,57.1087689713,0.0,0.0,0.0540125334,0.0,0.0,45983,45983,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,77.7477189088,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",13.972146164,71.7321965351,49.9486634946,23.1890035501,0.0749364854,3.4754048518,45983,baseline_continuation,142.6771838419,67.9771944444,6.0155223737,,,,,,,,,,,,,,,0.0540125334,3.3825577882,71.3597522326,67.9771944444,,
Delaware,10,2035,statistical_ridge,online_life_helps_matching,53.4165702111,53.4713757507,0.0548055396,0.0548055396,0.0109291943,,,,,,,,,,,,,0.0548055396,0.0548055396,1.0,False,online matching / digital social life,state,DE,Statistical baseline,Online life helps matching,0.0,53.4274994054,0.0,0.0,0.0548055396,0.0,0.0,9876,9876,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,142.5378196227,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",11.8035982331,114.2361435567,44.9073603897,23.1890035501,0.0664369872,3.0812150636,9876,baseline_continuation,116.535777778,64.0902222222,28.301676066,,,,,,,,,,,,,,,0.0548055396,3.4322201375,67.5224423597,64.0902222222,,
Nevada,32,2035,statistical_ridge,online_life_helps_matching,51.0509619948,51.1065605406,0.0555985458,0.0555985458,0.0109050417,,,,,,,,,,,,,0.0555985458,0.0555985458,1.0,False,online matching / digital social life,state,NV,Statistical baseline,Online life helps matching,0.0,51.0618670365,0.0,0.0,0.0555985458,0.0,0.0,31470,31470,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",20.3901992706,126.7196616464,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",14.0978435931,89.1500391805,10.9033607573,20.3901992706,0.1010915593,4.122554079,31470,baseline_continuation,177.501081929,73.4521666667,37.569622466,,,,,,,,,,,,,,,0.0555985458,3.4818824867,76.9340491534,73.4521666667,,
Hawaii,15,2035,statistical_ridge,online_life_helps_matching,55.6119771593,55.6675757051,0.0555985458,0.0555985458,0.0101984704,,,,,,,,,,,,,0.0555985458,0.0555985458,1.0,False,online matching / digital social life,state,HI,Statistical baseline,Online life helps matching,0.0,55.6221756297,0.0,0.0,0.0555985458,0.0,0.0,15107,15107,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",20.3901992706,122.4926674148,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",0.2439296725,88.5456870066,49.4756437866,20.3901992706,0.0427064127,1.7415845295,15107,baseline_continuation,154.4112253948,46.3063055556,33.9469804081,,,,,,,,,,,,,,,0.0555985458,3.4818824867,49.7881880423,46.3063055556,,
West Virginia,54,2035,statistical_ridge,online_life_helps_matching,51.3121476259,51.3677461716,0.0555985458,0.0555985458,0.0103761313,,,,,,,,,,,,,0.0555985458,0.0555985458,1.0,False,online matching / digital social life,state,WV,Statistical baseline,Online life helps matching,0.0,51.3225237572,0.0,0.0,0.0555985458,0.0,0.0,18460,18460,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,129.649934491,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",-1.8375333504,108.4271572943,65.6513014589,23.1890035501,0.0774997807,3.5942853812,18460,baseline_continuation,93.8005584722,46.6358055556,21.2227771967,,,,,,,,,,,,,,,0.0555985458,3.4818824867,50.1176880423,46.6358055556,,
Florida,12,2035,statistical_ridge,online_life_helps_matching,50.9386943271,50.9945572083,0.0558628812,0.0558628812,0.0112898132,,,,,,,,,,,,,0.0558628812,0.0558628812,1.0,False,online matching / digital social life,state,FL,Statistical baseline,Online life helps matching,0.0,50.9499841403,0.0,0.0,0.0558628812,0.0,0.0,213167,213167,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,136.7002593469,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",11.6472972243,84.6495958206,56.824884521,23.1890035501,0.1684995944,7.8146753857,213167,baseline_continuation,49.642130143,58.8178055556,52.0506635263,,,,,,,,,,,,,,,0.0558628812,3.4984366031,62.3162421587,58.8178055556,,
Indiana,18,2035,statistical_ridge,online_life_helps_matching,56.9727374561,57.0296576789,0.0569202228,0.0569202228,0.0113083457,,,,,,,,,,,,,0.0569202228,0.0569202228,1.0,False,online matching / digital social life,state,IN,Statistical baseline,Online life helps matching,0.0,56.9840458018,0.0,0.0,0.0569202228,0.0,0.0,71108,71108,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",27.1873166434,128.3919832632,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",7.312467657,126.0602877378,45.7376578341,27.1873166434,0.0518083886,2.8170621288,71108,baseline_continuation,136.8759598959,48.1095,2.3316955254,,,,,,,,,,,,,,,0.0569202228,3.5646530688,51.6741530688,48.1095,,
Alabama,01,2035,statistical_ridge,online_life_helps_matching,53.4121034101,53.4690236328,0.0569202228,0.0569202228,0.0113114,,,,,,,,,,,,,0.0569202228,0.0569202228,1.0,False,online matching / digital social life,state,AL,Statistical baseline,Online life helps matching,0.0,53.4234148101,0.0,0.0,0.0569202228,0.0,0.0,53710,53710,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,72.3589905758,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",-9.3274501121,92.243453524,24.9708566893,23.1890035501,0.0740586074,3.4346906212,53710,baseline_continuation,60.3553710039,67.6843611111,-19.8844629482,,,,,,,,,,,,,,,0.0569202228,3.5646530688,71.2490141799,67.6843611111,,
