state_name,state_fips,year,model,scenario,reference_path,scenario_path,scenario_difference,scenario_shift_component,legacy_model_scenario_difference,remote_work_share,remote_work_time_saved,digital_media_minutes_narrow,screen_leisure_minutes_broad,in_person_social_minutes,care_burden_minutes,contribution_remote_work_time_saved,contribution_remote_work_share,contribution_digital_media_minutes_narrow,contribution_screen_leisure_minutes_broad,contribution_in_person_social_minutes,contribution_care_burden_minutes,scenario_adjustment_pre_lag,scenario_adjustment_post_lag,recursive_lag_multiplier,clamping_flag,main_driver,geography_type,state_abbr,model_label,scenario_label,manual_adjustment_component,legacy_model_scenario_path,mechanism_remote_work_flexibility,mechanism_digital_distraction,mechanism_online_matching,mechanism_in_person_social,mechanism_care_burden,sample_size,respondent_count_unweighted,commute_minutes_quality_state_year,commute_minutes_source_state_year,mean_commute_minutes_state_year,reference_care_burden_minutes_state_year,reference_commute_minutes_quality_state_year,reference_commute_minutes_source_state_year,reference_digital_media_minutes_narrow_state_year,reference_household_work_minutes_state_year,reference_in_person_social_minutes_state_year,reference_mean_commute_minutes_state_year,reference_remote_work_share_state_year,reference_remote_work_time_saved_roundtrip_minutes_state_year,reference_sample_size,reference_scenario_name,reference_screen_leisure_minutes_broad_state_year,reference_search_interest_online_dating_state_year,reference_unpaid_care_minutes_state_year,delta_remote_work_time_saved,delta_remote_work_share,reference_remote_work_share,reference_remote_work_time_saved,remote_work_scenario_adjustment_formula,remote_work_scenario_calibration_level,remote_work_scenario_beta_remote,remote_work_time_saved_unit,delta_screen_leisure_minutes_broad,reference_screen_leisure_minutes_broad,delta_digital_media_minutes_narrow,reference_digital_media_minutes_narrow,delta_in_person_social_minutes,reference_in_person_social_minutes,contribution_dating_search_interest,delta_dating_search_interest,dating_search_interest,reference_dating_search_interest,delta_care_burden_minutes,reference_care_burden_minutes
Alaska,02,2035,statistical_ridge,remote_work_saves_time,62.9074511419,62.9741874188,0.0667362769,0.0667362769,-0.4475894982,0.0525699423,2.1438231991,,,,,0.0667362769,,,,,,0.0667362769,0.0667362769,1.0,False,remote-work time saved,state,AK,Statistical baseline,Remote work saves time,0.0,62.4598616437,0.0667362769,0.0,0.0,0.0,0.0,6931,6931,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",20.3901992706,119.3034381427,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",2.4401663331,86.4627872796,37.0110902831,20.3901992706,0.0368693783,1.5035479398,6931,baseline_continuation,158.0716198291,70.0044722222,32.8406508632,0.6402752593,0.015700564,0.0368693783,1.5035479398,delta_remote_work_time_saved_only,conservative,0.256923795,average round-trip commute minutes saved per employed worker per workday,,,,,,,,,,,,
Hawaii,15,2035,statistical_ridge,remote_work_saves_time,55.6119771593,55.6845833132,0.0726061539,0.0726061539,-0.4620745119,0.0597879405,2.4381760411,,,,,0.0726061539,,,,,,0.0726061539,0.0726061539,1.0,False,remote-work time saved,state,HI,Statistical baseline,Remote work saves time,0.0,55.1499026474,0.0726061539,0.0,0.0,0.0,0.0,15107,15107,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",20.3901992706,122.4926674148,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",0.2439296725,88.5456870066,49.4756437866,20.3901992706,0.0427064127,1.7415845295,15107,baseline_continuation,154.4112253948,46.3063055556,33.9469804081,0.6965915116,0.0170815278,0.0427064127,1.7415845295,delta_remote_work_time_saved_only,conservative,0.256923795,average round-trip commute minutes saved per employed worker per workday,,,,,,,,,,,,
New Mexico,35,2035,statistical_ridge,remote_work_saves_time,52.7652718074,52.8405415396,0.0752697323,0.0752697323,-0.5236217402,0.0602396509,2.4565969728,,,,,0.0752697323,,,,,,0.0752697323,0.0752697323,1.0,False,remote-work time saved,state,NM,Statistical baseline,Remote work saves time,0.0,52.2416500672,0.0752697323,0.0,0.0,0.0,0.0,20731,20731,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",20.3901992706,113.2541197269,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",-0.3612658924,83.3354869015,35.5382246163,20.3901992706,0.0425314822,1.7344507941,20731,baseline_continuation,153.4025661199,44.8348055556,29.9186328255,0.7221461787,0.0177081687,0.0425314822,1.7344507941,delta_remote_work_time_saved_only,conservative,0.256923795,average round-trip commute minutes saved per employed worker per workday,,,,,,,,,,,,
District of Columbia,11,2035,statistical_ridge,remote_work_saves_time,47.6031133833,47.6846106613,0.081497278,0.081497278,-0.8247272594,0.0492315982,2.2832634098,,,,,0.081497278,,,,,,0.081497278,0.081497278,1.0,False,remote-work time saved,state,DC,Statistical baseline,Remote work saves time,0.0,46.7783861239,0.081497278,0.0,0.0,0.0,0.0,6547,6547,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,138.0042255415,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",32.1676059899,110.47377729,-15.309941466,23.1890035501,0.0323724446,1.5013694653,6547,baseline_continuation,150.4757907061,76.2176388889,27.5304482515,0.7818939445,0.0168591536,0.0323724446,1.5013694653,delta_remote_work_time_saved_only,conservative,0.256923795,average round-trip commute minutes saved per employed worker per workday,,,,,,,,,,,,
California,06,2035,statistical_ridge,remote_work_saves_time,50.9075768654,50.992655417,0.0850785516,0.0850785516,-0.6694050072,0.0643402125,2.623819508,,,,,0.0850785516,,,,,,0.0850785516,0.0850785516,1.0,False,remote-work time saved,state,CA,Statistical baseline,Remote work saves time,0.0,50.2381718583,0.0850785516,0.0,0.0,0.0,0.0,393725,393725,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",20.3901992706,139.9838080091,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",21.2645238372,91.6257015367,-3.9893349367,20.3901992706,0.0443243934,1.8075664268,393725,baseline_continuation,207.6280772895,75.7898333333,48.3581064724,0.8162530812,0.0200158191,0.0443243934,1.8075664268,delta_remote_work_time_saved_only,conservative,0.256923795,average round-trip commute minutes saved per employed worker per workday,,,,,,,,,,,,
South Dakota,46,2035,statistical_ridge,remote_work_saves_time,68.4074328033,68.4962489385,0.0888161352,0.0888161352,-0.4487660503,0.0529503676,2.8791568219,,,,,0.0888161352,,,,,,0.0888161352,0.0888161352,1.0,False,remote-work time saved,state,SD,Statistical baseline,Remote work saves time,0.0,67.9586667529,0.0888161352,0.0,0.0,0.0,0.0,9617,9617,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",27.1873166434,140.2476924501,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",6.9066739198,113.750342632,46.7451980463,27.1873166434,0.037279239,2.0270449472,9617,baseline_continuation,105.1362142543,61.3743611111,26.4973498181,0.8521118747,0.0156711287,0.037279239,2.0270449472,delta_remote_work_time_saved_only,conservative,0.256923795,average round-trip commute minutes saved per employed worker per workday,,,,,,,,,,,,
Kentucky,21,2035,statistical_ridge,remote_work_saves_time,55.6555440938,55.7477762149,0.092232121,0.092232121,-0.5275898013,0.0710850581,3.2967833301,,,,,0.092232121,,,,,,0.092232121,0.092232121,1.0,False,remote-work time saved,state,KY,Statistical baseline,Remote work saves time,0.0,55.1279542925,0.092232121,0.0,0.0,0.0,0.0,47941,47941,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,42.2311085945,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",1.2042436418,33.3456841041,96.4729157159,23.1890035501,0.0520052124,2.4118981081,47941,baseline_continuation,36.2307633812,64.4424166667,8.8854244904,0.8848852219,0.0190798458,0.0520052124,2.4118981081,delta_remote_work_time_saved_only,conservative,0.256923795,average round-trip commute minutes saved per employed worker per workday,,,,,,,,,,,,
Montana,30,2035,statistical_ridge,remote_work_saves_time,55.5940154733,55.6897962043,0.095780731,0.095780731,-0.5808163784,0.0909162188,3.7075996361,,,,,0.095780731,,,,,,0.095780731,0.095780731,1.0,False,remote-work time saved,state,MT,Statistical baseline,Remote work saves time,0.0,55.0131990949,0.095780731,0.0,0.0,0.0,0.0,11451,11451,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",20.3901992706,140.3966697912,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",-11.862146415,96.7923689419,84.5386058089,20.3901992706,0.0683825748,2.7886686556,11451,baseline_continuation,134.2344319156,52.4865277778,43.6043008493,0.9189309805,0.0225336439,0.0683825748,2.7886686556,delta_remote_work_time_saved_only,conservative,0.256923795,average round-trip commute minutes saved per employed worker per workday,,,,,,,,,,,,
New York,36,2035,statistical_ridge,remote_work_saves_time,50.6560280273,50.7522868183,0.096258791,0.096258791,-0.6016165106,0.039689533,2.5463862061,,,,,0.096258791,,,,,,0.096258791,0.096258791,1.0,False,remote-work time saved,state,NY,Statistical baseline,Remote work saves time,0.0,50.0544115167,0.096258791,0.0,0.0,0.0,0.0,210150,210150,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",32.0788129322,107.0452999888,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",10.2420088109,91.1775902404,-9.2345374602,32.0788129322,0.0252950237,1.6228686651,210150,baseline_continuation,200.306987356,70.3643333333,15.8677097484,0.923517541,0.0143945093,0.0252950237,1.6228686651,delta_remote_work_time_saved_only,conservative,0.256923795,average round-trip commute minutes saved per employed worker per workday,,,,,,,,,,,,
North Dakota,38,2035,statistical_ridge,remote_work_saves_time,64.4614732848,64.5630876921,0.1016144073,0.1016144073,-0.4285708394,0.0693404324,3.7703605841,,,,,0.1016144073,,,,,,0.1016144073,0.1016144073,1.0,False,remote-work time saved,state,ND,Statistical baseline,Remote work saves time,0.0,64.0329024453,0.1016144073,0.0,0.0,0.0,0.0,8404,8404,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",27.1873166434,139.4503532326,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",1.4981104368,113.5785413487,59.0336690492,27.1873166434,0.0514111176,2.7954606645,8404,baseline_continuation,96.1219417826,54.6734722222,25.8718118839,0.9748999197,0.0179293148,0.0514111176,2.7954606645,delta_remote_work_time_saved_only,conservative,0.256923795,average round-trip commute minutes saved per employed worker per workday,,,,,,,,,,,,
