column_name,dtype,description
state_fips,object,derived
year,int64,derived
remote_work_share_state_year,float64,derived
observed_remote_work_share_acs,float64,derived
on_site_work_share_state_year,float64,derived
usual_hours_all_workers,float64,derived
usual_hours_wfh_workers,float64,derived
telework_hours_mean_among_remote,float64,derived
remote_work_hours_proxy,float64,derived
mean_commute_minutes_state_year,float64,derived
long_commute_share_state_year,float64,derived
female_employment_rate,float64,derived
labor_force_participation_rate,float64,derived
married_or_partnered_share_state_year,float64,derived
sample_size,int64,derived
source_used,object,derived
source_warning,object,derived
measurement_note,object,derived
proxy_mode,object,derived
region,object,derived
acs_warning,object,derived
remote_work_share_baseline,float64,derived
remote_work_growth,float64,derived
mean_commute_baseline,float64,derived
commute_savings_proxy,float64,derived
remote_work_time_saved_one_way_minutes_state_year,float64,derived
remote_work_time_saved_roundtrip_minutes_state_year,float64,derived
commute_time_saved_by_remote_work,float64,derived
remote_work_time_saved_proxy,float64,derived
on_site_work_share,float64,derived
state_name,object,derived
general_fertility_rate,float64,derived
total_fertility_rate_approx,float64,derived
population_total,float64,derived
population_growth_rate,float64,derived
natural_increase,float64,derived
net_migration,float64,derived
source_note,object,derived
search_interest_genai_state_year,float64,derived
search_interest_online_dating_state_year,float64,derived
digital_attention_proxy_index,float64,derived
measurement_concept,object,derived
measurement_type,object,derived
is_representative,object,derived
geography_level,object,derived
warning_flag,object,derived
estimate_mode,object,derived
digital_media_minutes_narrow_state_choice,float64,derived
digital_media_minutes_narrow_state_mode,object,derived
screen_leisure_minutes_broad_state_choice,float64,derived
screen_leisure_minutes_broad_state_mode,object,derived
digital_distraction_minutes_state_choice,float64,derived
digital_distraction_minutes_state_mode,object,derived
face_to_face_social_minutes_state_choice,float64,derived
face_to_face_social_minutes_state_mode,object,derived
in_person_social_minutes_state_choice,float64,derived
in_person_social_minutes_state_mode,object,derived
commuting_minutes_state_choice,float64,derived
commuting_minutes_state_mode,object,derived
work_at_home_minutes_state_choice,float64,derived
work_at_home_minutes_state_mode,object,derived
work_away_minutes_state_choice,float64,derived
work_away_minutes_state_mode,object,derived
away_from_home_minutes_state_choice,float64,derived
away_from_home_minutes_state_mode,object,derived
household_work_minutes_state_choice,float64,derived
household_work_minutes_state_mode,object,derived
unpaid_care_minutes_state_choice,float64,derived
unpaid_care_minutes_state_mode,object,derived
care_burden_minutes_state_choice,float64,derived
care_burden_minutes_state_mode,object,derived
time_alone_minutes_state_choice,float64,derived
time_alone_minutes_state_mode,object,derived
time_with_spouse_only_minutes_state_choice,float64,derived
time_with_spouse_only_minutes_state_mode,object,derived
time_with_friends_minutes_state_choice,float64,derived
time_with_friends_minutes_state_mode,object,derived
time_with_nonhousehold_minutes_state_choice,float64,derived
time_with_nonhousehold_minutes_state_mode,object,derived
time_with_family_minutes_state_choice,float64,derived
